sid	analysis_id	barcode
ts1	2f6845be-dfe2-49c6-b7e8-54d084042928	TCGA-VF-A8AD-01A-11R-A431-07
ts2	4573aa04-b036-45ac-a6ea-5dba83723210	TCGA-V1-A9OY-01A-11R-A41O-07
ts3	80754325-83dd-4731-977e-2d3221ec9e11	TCGA-BH-A203-01A-12R-A169-07
ts4	4aaa43e2-2ab2-408d-87bc-18bcc5a834e6	TCGA-DI-A1NO-01A-31R-A157-07
ts5	887db29c-942d-496f-a772-879c371fd1a1	TCGA-BG-A222-01A-11R-A157-07
ts6	e0508b31-6627-4e4b-a0c2-cb9b67bd3b2b	TCGA-IN-AB1V-01A-21R-A414-31
ts7	f7279679-11a6-4291-90a8-971b0426f412	TCGA-GL-A9DE-01A-11R-A37K-07
ts8	a05904a2-1280-4f25-b853-89a970a13036	TCGA-OL-A5RY-01A-21R-A28M-07
ts9	56f64be9-37d8-4ca2-b0b0-a9a619e23629	TCGA-J4-A83M-01A-11R-A352-07
ts10	de78a840-c913-4d72-a8c5-00ecafb86eb3	TCGA-A3-3319-01A-02R-1325-07
ts11	5b083ed0-ab72-4f05-b15d-a4f0605253ab	TCGA-92-7340-11A-01R-2045-07
ts12	edcd82e3-3269-490d-b66b-8c326610db44	TCGA-3C-AALI-01A-11R-A41B-07
ts13	64a4e5a2-1717-407a-a914-14c2185fddd7	TCGA-FB-AAQ0-01A-31R-A41B-07
ts14	a6f8ba19-0360-48a9-b5e7-613c5628639f	TCGA-AB-2840-03A-01T-0734-13
ts15	e4b73111-4bd8-4573-bea0-210669ae8009	TCGA-MH-A857-01A-11R-A355-07
ts16	e14ce338-c514-451c-a303-13736e368e32	TCGA-HZ-8315-01A-11R-2404-07
ts17	a2ccc6ec-0f41-4e78-870f-0b30599ea7cc	TCGA-AH-6897-01A-11R-1928-07
ts18	53e1f94b-b6d3-4231-99eb-21a648ef5367	TCGA-3H-AB3S-01A-21R-A40A-07
ts19	3061baae-0295-49fa-b400-3a6925f1703b	TCGA-CJ-4900-01A-01R-1334-07
ts20	f86498d7-e800-4380-866e-ffb5e7086827	TCGA-44-6145-01A-11R-1755-07
ts21	11125e23-fa6c-47b7-baeb-845c5f94c73e	TCGA-V4-A9EI-01A-11R-A405-07
ts22	417cbec9-7c7d-4635-9933-9b3d20a2af64	TCGA-D1-A16D-01A-11R-A12I-07
ts23	2c2f74de-3401-4a12-b197-198d9196b570	TCGA-77-A5G7-01B-11R-A27Q-07
ts24	77ceab88-852e-400c-acc4-2bbaf8546296	TCGA-AO-A0JJ-01A-11R-A056-07
ts25	17324449-0d02-4345-927c-b7d6724854da	TCGA-DB-5279-01A-03R-2347-07
ts26	dcfc8924-9ec9-4e3c-a397-ac25dfe093f6	TCGA-KK-A59X-01A-11R-A29R-07
ts27	d7a1cf5b-7fbe-4eb3-b5b5-b48760fee7db	TCGA-C5-A8XH-01A-11R-A37O-07
ts28	f91c80c2-0f1c-42d7-ac2b-7317b9a2ff4d	TCGA-BP-4165-01A-02R-1289-07
ts29	14ca7321-9387-4715-bf3e-95d1038a0457	TCGA-AO-A1KR-01A-12R-A144-07
ts30	32ac6172-f2ca-4065-8644-a1fd37036f41	TCGA-CR-7372-01A-11R-2016-07
ts31	4b66df1d-9408-4e25-aaf7-2825809baa0c	TCGA-A7-A0DC-01B-04R-A22O-07
ts32	b043709e-acfb-4034-838e-768c894f54dc	TCGA-A7-A0DC-01B-04R-A22O-07
ts33	e59455b1-4bfa-45c2-be8a-1cd8f3a26c0e	TCGA-A7-A0DC-01B-04R-A22O-07
ts34	c7a31352-6348-4245-ac8d-b31464a360f6	TCGA-2G-AAKH-01A-11R-A430-07
ts35	69caa57b-bc55-4a50-bd27-6da34f4aac7e	TCGA-24-2267-01A-01R-1568-13
ts36	b11facbb-245d-45f1-a7a0-d6b8da3d4a04	TCGA-G3-A6UC-01A-21R-A33J-07
ts37	cffe7d67-6ebd-40dc-94f1-180487b98e74	TCGA-WB-A81G-01A-11R-A35L-07
ts38	04cf2014-5f71-45cf-a449-3af1a9449c61	TCGA-A2-A0YC-01A-11R-A109-07
ts39	c17c5773-2059-4491-a1d5-83af644bc49f	TCGA-CJ-4890-01A-01R-1305-07
ts40	68f72c26-3ff9-4b4f-bb18-33be031389fd	TCGA-2G-AAG9-01A-11R-A430-07
ts41	2b7cee9b-2ab2-49f6-8c80-7e5ba9351a59	TCGA-AO-A03L-01A-41R-A056-07
ts42	93ff10a9-a9d0-4e5b-a84e-6407c4b2b01d	TCGA-77-8009-01A-11R-2187-07
ts43	e2059220-9dc6-4a25-a213-d4531eb727c3	TCGA-ET-A39O-01A-11R-A19O-07
ts44	928cd50d-7be2-4c63-9995-eddd395dbf88	TCGA-34-5928-01A-11R-1820-07
ts45	e39a9115-8756-4ae9-8618-a20029b87657	TCGA-FR-A726-01A-11R-A32P-07
ts46	80c43e81-9bd0-4690-be29-85fb852f5f58	TCGA-CM-6678-01A-11R-1839-07
ts47	6d0acacf-4af9-4c46-bd64-202b8300c58d	TCGA-ZC-AAA7-01A-11R-A42S-07
ts48	87c1d789-9482-442a-8b42-97bb479060e3	TCGA-B8-5552-01B-11R-1672-07
ts49	b3af9737-a29e-4a9f-8fe8-6d1ad2a9467c	TCGA-D3-A1Q3-06A-11R-A18T-07
ts50	963a5815-d466-4b09-a7d6-26552bf06cbf	TCGA-IM-A41Y-01A-11R-A23W-07
ts51	f7c5632b-f190-4e14-8e89-929e923e64b8	TCGA-90-6837-01A-11R-1949-07
ts52	93f04857-b4e7-4deb-8f14-da406d7d9d1c	TCGA-A8-A07S-01A-11R-A034-07
ts53	66d15632-d370-4b5b-bee0-018bb63c5c55	TCGA-AG-3882-01A-01R-0905-07
ts54	c2858bdd-7683-4c59-8e12-7dac8bc2cfb7	TCGA-C5-A1M6-01A-11R-A13Y-07
ts55	337f4a9f-514c-45b2-a8ca-e640f1a4ac7f	TCGA-EL-A3T3-11A-11R-A22L-07
ts56	2bae1696-49d4-4034-ae0a-ab2ccbac1cb3	TCGA-77-8007-11A-01R-2187-07
ts57	d4592468-44cc-4a8c-857b-12aef379caff	TCGA-92-8064-01A-11R-2247-07
ts58	55b73313-fd5b-4a1a-8b64-6be4446bf457	TCGA-D5-6922-01A-11R-1928-07
ts59	6d04c110-5de2-4f60-aa47-795151bedff0	TCGA-FD-A3SS-01A-12R-A22U-07
ts60	7e6d42a1-5b08-4a61-a183-e0cb3206d27e	TCGA-DM-A0X9-01A-11R-A155-07
ts61	84d34341-3f45-4533-954a-3aed4ee5da82	TCGA-AA-3502-01A-01R-1410-07
ts62	b81df2b9-68ba-4b79-b0ce-30df40f0d358	TCGA-AA-3502-01A-01R-1410-07
ts63	bc3f4f0d-006f-42a9-9b2c-4bf900773487	TCGA-DX-A6YU-01A-12R-A33J-07
ts64	3c99c302-ea61-4dd0-a642-f7c21c64e10f	TCGA-GC-A6I1-01A-12R-A31N-07
ts65	9d97df80-e171-4dd6-9828-01937af3d1b4	TCGA-AJ-A3EK-01A-11R-A19W-07
ts66	61687484-5314-4b7f-89f0-c9c22db62ad6	TCGA-E2-A15M-01A-11R-A12D-07
ts67	34fb21fc-6ea8-4577-9ac1-9c95ccb270f9	TCGA-B6-A1KC-01B-11R-A157-07
ts68	57e00fd4-5a1a-49d9-a190-8825b5c006f6	TCGA-DA-A3F8-06A-11R-A20F-07
ts69	6334301a-810a-47b9-b68c-bbaaa69ab55a	TCGA-CZ-5470-11A-01R-1503-07
ts70	6c07b2a3-7559-470f-b207-2fe44a1ac28a	TCGA-D8-A27E-01A-11R-A16F-07
ts71	497f4769-82c0-4e7e-9b2b-a7c06685b0e7	TCGA-33-AASB-01A-11R-A405-07
ts72	777a8f85-1ac0-48d2-9d01-531887b6445d	TCGA-G4-6309-01A-21R-1839-07
ts73	2df501b9-2fa6-42ad-a6b5-0f55fb0c90f3	TCGA-GL-A9DD-01A-11R-A37K-07
ts74	be886884-8449-4ffe-b0bc-76e4b038e543	TCGA-ZJ-AAXN-01A-11R-A42T-07
ts75	ac5dcc7d-028e-4c6a-97ee-e2fd3d5ac191	TCGA-AG-3728-01A-01R-0905-07
ts76	7101cce9-044f-404b-b1e5-a88f87e916e8	TCGA-AG-3612-01A-01R-0826-07
ts77	cceca647-fc31-447f-8a0f-83e793c6d441	TCGA-09-1659-01B-01R-1564-13
ts78	af850e32-8618-454f-b43b-7c87ba1b6503	TCGA-2G-AAGE-01A-21R-A430-07
ts79	0732afc5-47d6-46ef-97fe-10af404dce98	TCGA-C8-A26X-01A-31R-A16F-07
ts80	d4f24e68-71f9-4eb5-aa77-665323c0fa3f	TCGA-IN-8663-11A-01R-2402-13
ts81	d0bbb62d-2314-454a-a2f4-0f8bb0853b06	TCGA-ZX-AA5X-01A-11R-A42T-07
ts82	462420e3-9b3f-4b4d-9a85-3ce426a147f2	TCGA-OR-A5JC-01A-11R-A29S-07
ts83	fcb9c5e2-214c-405f-9b5f-62ee86c031ba	TCGA-K4-A4AB-01B-12R-A28M-07
ts84	9a934c6d-e1bd-4222-b8a4-364e14560166	TCGA-DX-A8BR-01A-11R-A41I-07
ts85	7c08559b-e5e6-4188-8ce3-35e70cdd1870	TCGA-G9-7523-01A-11R-2263-07
ts86	ef31842c-2346-407d-8b37-b3cfd1681161	TCGA-BP-4962-01A-01R-1334-07
